group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Zero Area Checks,any_circle_zero_area,,,,995437.0,ns,75
Zero Area Checks,any_circle_zero_area,,,,1969176.0,ns,150
Zero Area Checks,any_circle_zero_area,,,,3026276.0,ns,225
Zero Area Checks,any_circle_zero_area,,,,4186217.0,ns,300
Zero Area Checks,any_circle_zero_area,,,,4777279.0,ns,375
Zero Area Checks,any_circle_zero_area,,,,5907147.0,ns,450
Zero Area Checks,any_circle_zero_area,,,,7016471.0,ns,525
Zero Area Checks,any_circle_zero_area,,,,8114147.0,ns,600
Zero Area Checks,any_circle_zero_area,,,,9024861.0,ns,675
Zero Area Checks,any_circle_zero_area,,,,9939739.0,ns,750
Zero Area Checks,any_circle_zero_area,,,,10997298.0,ns,825
Zero Area Checks,any_circle_zero_area,,,,11981932.0,ns,900
Zero Area Checks,any_circle_zero_area,,,,12998036.0,ns,975
Zero Area Checks,any_circle_zero_area,,,,14651994.0,ns,1050
Zero Area Checks,any_circle_zero_area,,,,14905087.0,ns,1125
Zero Area Checks,any_circle_zero_area,,,,16199202.0,ns,1200
Zero Area Checks,any_circle_zero_area,,,,17052985.0,ns,1275
Zero Area Checks,any_circle_zero_area,,,,18023756.0,ns,1350
Zero Area Checks,any_circle_zero_area,,,,18946394.0,ns,1425
Zero Area Checks,any_circle_zero_area,,,,19941384.0,ns,1500
Zero Area Checks,any_circle_zero_area,,,,20646078.0,ns,1575
Zero Area Checks,any_circle_zero_area,,,,21689810.0,ns,1650
Zero Area Checks,any_circle_zero_area,,,,22719778.0,ns,1725
Zero Area Checks,any_circle_zero_area,,,,23753208.0,ns,1800
Zero Area Checks,any_circle_zero_area,,,,24820553.0,ns,1875
Zero Area Checks,any_circle_zero_area,,,,25879387.0,ns,1950
Zero Area Checks,any_circle_zero_area,,,,26728882.0,ns,2025
Zero Area Checks,any_circle_zero_area,,,,27701521.0,ns,2100
Zero Area Checks,any_circle_zero_area,,,,28711656.0,ns,2175
Zero Area Checks,any_circle_zero_area,,,,30357911.0,ns,2250
Zero Area Checks,any_circle_zero_area,,,,32420394.0,ns,2325
Zero Area Checks,any_circle_zero_area,,,,34767322.0,ns,2400
Zero Area Checks,any_circle_zero_area,,,,32946836.0,ns,2475
Zero Area Checks,any_circle_zero_area,,,,33877888.0,ns,2550
Zero Area Checks,any_circle_zero_area,,,,34371442.0,ns,2625
Zero Area Checks,any_circle_zero_area,,,,35526842.0,ns,2700
Zero Area Checks,any_circle_zero_area,,,,36570708.0,ns,2775
Zero Area Checks,any_circle_zero_area,,,,38042169.0,ns,2850
Zero Area Checks,any_circle_zero_area,,,,38398595.0,ns,2925
