group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Zero Area Checks,any_rectangle_zero_area,,,,960464.0,ns,61
Zero Area Checks,any_rectangle_zero_area,,,,1992717.0,ns,122
Zero Area Checks,any_rectangle_zero_area,,,,2863142.0,ns,183
Zero Area Checks,any_rectangle_zero_area,,,,3897645.0,ns,244
Zero Area Checks,any_rectangle_zero_area,,,,4789828.0,ns,305
Zero Area Checks,any_rectangle_zero_area,,,,5876771.0,ns,366
Zero Area Checks,any_rectangle_zero_area,,,,6934368.0,ns,427
Zero Area Checks,any_rectangle_zero_area,,,,7880908.0,ns,488
Zero Area Checks,any_rectangle_zero_area,,,,8740129.0,ns,549
Zero Area Checks,any_rectangle_zero_area,,,,9907267.0,ns,610
Zero Area Checks,any_rectangle_zero_area,,,,10771984.0,ns,671
Zero Area Checks,any_rectangle_zero_area,,,,11767753.0,ns,732
Zero Area Checks,any_rectangle_zero_area,,,,12763865.0,ns,793
Zero Area Checks,any_rectangle_zero_area,,,,14311207.0,ns,854
Zero Area Checks,any_rectangle_zero_area,,,,14600020.0,ns,915
Zero Area Checks,any_rectangle_zero_area,,,,15803155.0,ns,976
Zero Area Checks,any_rectangle_zero_area,,,,16968819.0,ns,1037
Zero Area Checks,any_rectangle_zero_area,,,,18099097.0,ns,1098
Zero Area Checks,any_rectangle_zero_area,,,,18737603.0,ns,1159
Zero Area Checks,any_rectangle_zero_area,,,,19724134.0,ns,1220
Zero Area Checks,any_rectangle_zero_area,,,,20446288.0,ns,1281
Zero Area Checks,any_rectangle_zero_area,,,,21667702.0,ns,1342
Zero Area Checks,any_rectangle_zero_area,,,,22385563.0,ns,1403
Zero Area Checks,any_rectangle_zero_area,,,,23468523.0,ns,1464
Zero Area Checks,any_rectangle_zero_area,,,,24329824.0,ns,1525
Zero Area Checks,any_rectangle_zero_area,,,,25527215.0,ns,1586
Zero Area Checks,any_rectangle_zero_area,,,,26181045.0,ns,1647
Zero Area Checks,any_rectangle_zero_area,,,,27944140.0,ns,1708
Zero Area Checks,any_rectangle_zero_area,,,,28092032.0,ns,1769
Zero Area Checks,any_rectangle_zero_area,,,,29877868.0,ns,1830
Zero Area Checks,any_rectangle_zero_area,,,,31402297.0,ns,1891
Zero Area Checks,any_rectangle_zero_area,,,,31578236.0,ns,1952
Zero Area Checks,any_rectangle_zero_area,,,,32025829.0,ns,2013
Zero Area Checks,any_rectangle_zero_area,,,,33696468.0,ns,2074
Zero Area Checks,any_rectangle_zero_area,,,,33900378.0,ns,2135
Zero Area Checks,any_rectangle_zero_area,,,,35714544.0,ns,2196
Zero Area Checks,any_rectangle_zero_area,,,,36428014.0,ns,2257
Zero Area Checks,any_rectangle_zero_area,,,,37234895.0,ns,2318
Zero Area Checks,any_rectangle_zero_area,,,,37807932.0,ns,2379
Zero Area Checks,any_rectangle_zero_area,,,,40011577.0,ns,2440
Zero Area Checks,any_rectangle_zero_area,,,,39876106.0,ns,2501
Zero Area Checks,any_rectangle_zero_area,,,,41500224.0,ns,2562
Zero Area Checks,any_rectangle_zero_area,,,,41876698.0,ns,2623
Zero Area Checks,any_rectangle_zero_area,,,,43479621.0,ns,2684
Zero Area Checks,any_rectangle_zero_area,,,,44403177.0,ns,2745
Zero Area Checks,any_rectangle_zero_area,,,,45277789.0,ns,2806
Zero Area Checks,any_rectangle_zero_area,,,,45767167.0,ns,2867
Zero Area Checks,any_rectangle_zero_area,,,,47122996.0,ns,2928
Zero Area Checks,any_rectangle_zero_area,,,,47627663.0,ns,2989
Zero Area Checks,any_rectangle_zero_area,,,,50267691.0,ns,3050
Zero Area Checks,any_rectangle_zero_area,,,,49534959.0,ns,3111
Zero Area Checks,any_rectangle_zero_area,,,,51543052.0,ns,3172
Zero Area Checks,any_rectangle_zero_area,,,,51886198.0,ns,3233
Zero Area Checks,any_rectangle_zero_area,,,,53199557.0,ns,3294
Zero Area Checks,any_rectangle_zero_area,,,,53394494.0,ns,3355
Zero Area Checks,any_rectangle_zero_area,,,,56070127.0,ns,3416
Zero Area Checks,any_rectangle_zero_area,,,,55881795.0,ns,3477
Zero Area Checks,any_rectangle_zero_area,,,,57973222.0,ns,3538
Zero Area Checks,any_rectangle_zero_area,,,,57399938.0,ns,3599
Zero Area Checks,any_rectangle_zero_area,,,,59014370.0,ns,3660
Zero Area Checks,any_rectangle_zero_area,,,,59376296.0,ns,3721
Zero Area Checks,any_rectangle_zero_area,,,,61494218.0,ns,3782
Zero Area Checks,any_rectangle_zero_area,,,,62350209.0,ns,3843
Zero Area Checks,any_rectangle_zero_area,,,,63023696.0,ns,3904
Zero Area Checks,any_rectangle_zero_area,,,,63386731.0,ns,3965
Zero Area Checks,any_rectangle_zero_area,,,,64983580.0,ns,4026
Zero Area Checks,any_rectangle_zero_area,,,,64671481.0,ns,4087
Zero Area Checks,any_rectangle_zero_area,,,,66351868.0,ns,4148
Zero Area Checks,any_rectangle_zero_area,,,,66307074.0,ns,4209
Zero Area Checks,any_rectangle_zero_area,,,,69008663.0,ns,4270
