group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Zero Area Checks,any_shape_zero_area,,,,985665.0,ns,24
Zero Area Checks,any_shape_zero_area,,,,1973649.0,ns,48
Zero Area Checks,any_shape_zero_area,,,,2944709.0,ns,72
Zero Area Checks,any_shape_zero_area,,,,3931642.0,ns,96
Zero Area Checks,any_shape_zero_area,,,,4954358.0,ns,120
Zero Area Checks,any_shape_zero_area,,,,5920045.0,ns,144
Zero Area Checks,any_shape_zero_area,,,,7194102.0,ns,168
Zero Area Checks,any_shape_zero_area,,,,7968735.0,ns,192
Zero Area Checks,any_shape_zero_area,,,,9388574.0,ns,216
Zero Area Checks,any_shape_zero_area,,,,10156934.0,ns,240
Zero Area Checks,any_shape_zero_area,,,,10779085.0,ns,264
Zero Area Checks,any_shape_zero_area,,,,11919889.0,ns,288
Zero Area Checks,any_shape_zero_area,,,,12912901.0,ns,312
Zero Area Checks,any_shape_zero_area,,,,13818523.0,ns,336
Zero Area Checks,any_shape_zero_area,,,,14719859.0,ns,360
Zero Area Checks,any_shape_zero_area,,,,15735320.0,ns,384
Zero Area Checks,any_shape_zero_area,,,,16654680.0,ns,408
Zero Area Checks,any_shape_zero_area,,,,17873549.0,ns,432
Zero Area Checks,any_shape_zero_area,,,,18686751.0,ns,456
Zero Area Checks,any_shape_zero_area,,,,19683282.0,ns,480
Zero Area Checks,any_shape_zero_area,,,,20766002.0,ns,504
Zero Area Checks,any_shape_zero_area,,,,21885085.0,ns,528
Zero Area Checks,any_shape_zero_area,,,,22770544.0,ns,552
Zero Area Checks,any_shape_zero_area,,,,23683232.0,ns,576
Zero Area Checks,any_shape_zero_area,,,,24788477.0,ns,600
Zero Area Checks,any_shape_zero_area,,,,25372098.0,ns,624
Zero Area Checks,any_shape_zero_area,,,,26544754.0,ns,648
Zero Area Checks,any_shape_zero_area,,,,27527240.0,ns,672
Zero Area Checks,any_shape_zero_area,,,,28409440.0,ns,696
Zero Area Checks,any_shape_zero_area,,,,29542896.0,ns,720
Zero Area Checks,any_shape_zero_area,,,,30740600.0,ns,744
Zero Area Checks,any_shape_zero_area,,,,31645950.0,ns,768
Zero Area Checks,any_shape_zero_area,,,,32249552.0,ns,792
Zero Area Checks,any_shape_zero_area,,,,33245230.0,ns,816
Zero Area Checks,any_shape_zero_area,,,,34642425.0,ns,840
Zero Area Checks,any_shape_zero_area,,,,35277282.0,ns,864
Zero Area Checks,any_shape_zero_area,,,,36486000.0,ns,888
Zero Area Checks,any_shape_zero_area,,,,37077747.0,ns,912
Zero Area Checks,any_shape_zero_area,,,,38341431.0,ns,936
Zero Area Checks,any_shape_zero_area,,,,39085054.0,ns,960
Zero Area Checks,any_shape_zero_area,,,,40268003.0,ns,984
Zero Area Checks,any_shape_zero_area,,,,41522353.0,ns,1008
Zero Area Checks,any_shape_zero_area,,,,42369401.0,ns,1032
Zero Area Checks,any_shape_zero_area,,,,43528543.0,ns,1056
Zero Area Checks,any_shape_zero_area,,,,45500212.0,ns,1080
Zero Area Checks,any_shape_zero_area,,,,46571673.0,ns,1104
Zero Area Checks,any_shape_zero_area,,,,47178861.0,ns,1128
Zero Area Checks,any_shape_zero_area,,,,47381551.0,ns,1152
Zero Area Checks,any_shape_zero_area,,,,47941679.0,ns,1176
Zero Area Checks,any_shape_zero_area,,,,49098813.0,ns,1200
Zero Area Checks,any_shape_zero_area,,,,50476538.0,ns,1224
Zero Area Checks,any_shape_zero_area,,,,51931072.0,ns,1248
Zero Area Checks,any_shape_zero_area,,,,52630660.0,ns,1272
Zero Area Checks,any_shape_zero_area,,,,53207589.0,ns,1296
Zero Area Checks,any_shape_zero_area,,,,53741670.0,ns,1320
Zero Area Checks,any_shape_zero_area,,,,55042574.0,ns,1344
Zero Area Checks,any_shape_zero_area,,,,60110127.0,ns,1368
Zero Area Checks,any_shape_zero_area,,,,57928636.0,ns,1392
Zero Area Checks,any_shape_zero_area,,,,58448908.0,ns,1416
Zero Area Checks,any_shape_zero_area,,,,58594698.0,ns,1440
Zero Area Checks,any_shape_zero_area,,,,60014916.0,ns,1464
Zero Area Checks,any_shape_zero_area,,,,61364890.0,ns,1488
Zero Area Checks,any_shape_zero_area,,,,61127254.0,ns,1512
Zero Area Checks,any_shape_zero_area,,,,64793243.0,ns,1536
Zero Area Checks,any_shape_zero_area,,,,64288577.0,ns,1560
Zero Area Checks,any_shape_zero_area,,,,64669958.0,ns,1584
Zero Area Checks,any_shape_zero_area,,,,66406873.0,ns,1608
Zero Area Checks,any_shape_zero_area,,,,67879392.0,ns,1632
Zero Area Checks,any_shape_zero_area,,,,68531699.0,ns,1656
Zero Area Checks,any_shape_zero_area,,,,68442446.0,ns,1680
Zero Area Checks,any_shape_zero_area,,,,68462800.0,ns,1704
Zero Area Checks,any_shape_zero_area,,,,70100102.0,ns,1728
Zero Area Checks,any_shape_zero_area,,,,71038472.0,ns,1752
Zero Area Checks,any_shape_zero_area,,,,71857691.0,ns,1776
Zero Area Checks,any_shape_zero_area,,,,72036753.0,ns,1800
Zero Area Checks,any_shape_zero_area,,,,74804154.0,ns,1824
Zero Area Checks,any_shape_zero_area,,,,74965340.0,ns,1848
Zero Area Checks,any_shape_zero_area,,,,76784421.0,ns,1872
Zero Area Checks,any_shape_zero_area,,,,76177164.0,ns,1896
Zero Area Checks,any_shape_zero_area,,,,77573597.0,ns,1920
Zero Area Checks,any_shape_zero_area,,,,78755945.0,ns,1944
Zero Area Checks,any_shape_zero_area,,,,79727751.0,ns,1968
Zero Area Checks,any_shape_zero_area,,,,80628472.0,ns,1992
Zero Area Checks,any_shape_zero_area,,,,82623653.0,ns,2016
Zero Area Checks,any_shape_zero_area,,,,83165182.0,ns,2040
Zero Area Checks,any_shape_zero_area,,,,83357687.0,ns,2064
Zero Area Checks,any_shape_zero_area,,,,84704092.0,ns,2088
Zero Area Checks,any_shape_zero_area,,,,85598783.0,ns,2112
Zero Area Checks,any_shape_zero_area,,,,86073467.0,ns,2136
Zero Area Checks,any_shape_zero_area,,,,87667903.0,ns,2160
Zero Area Checks,any_shape_zero_area,,,,89430080.0,ns,2184
Zero Area Checks,any_shape_zero_area,,,,90112002.0,ns,2208
Zero Area Checks,any_shape_zero_area,,,,91517720.0,ns,2232
Zero Area Checks,any_shape_zero_area,,,,91659381.0,ns,2256
Zero Area Checks,any_shape_zero_area,,,,91008326.0,ns,2280
Zero Area Checks,any_shape_zero_area,,,,93015632.0,ns,2304
Zero Area Checks,any_shape_zero_area,,,,94046609.0,ns,2328
Zero Area Checks,any_shape_zero_area,,,,95237667.0,ns,2352
Zero Area Checks,any_shape_zero_area,,,,97869285.0,ns,2376
Zero Area Checks,any_shape_zero_area,,,,100287096.0,ns,2400
